no,type1,type2,name,avg
1,곡물가공품,견과류,허니버터아몬드(210g),7563
2,곡물가공품,국수,백설 소면(900g),3401
3,곡물가공품,국수,옛날국수 소면(900g),3980
4,곡물가공품,냉동만두,비비고 왕교자(1.12kg),10985
5,곡물가공품,냉동만두,생야채돼지고기물만두(800g),8823
6,곡물가공품,당면,백설 자른 햇당면(300g),3668
7,곡물가공품,당면,옛날 자른당면(300g),4452
8,곡물가공품,두부,국산콩두부 부침용(380g),4920
9,곡물가공품,두부,국산콩두부 찌개용(380g),3933
10,곡물가공품,두부,행복한콩 부침두부(300g),1662
11,곡물가공품,두부,행복한콩 찌개두부(300g),1645
12,곡물가공품,라면,삼양라면(5개입),4060
13,곡물가공품,라면,신라면(5개입),4300
14,곡물가공품,라면,진라면 순한맛(5개입),3845
15,곡물가공품,밀가루,곰표 밀가루 중력다목적용(1kg),1831
16,곡물가공품,밀가루,백설 찰밀가루(1kg),2587
17,곡물가공품,부침가루,백설 5가지 재료 부침가루(1kg),3894
18,곡물가공품,부침가루,오뚜기 부침가루(1kg),3088
19,곡물가공품,빵,삼립호떡 미니꿀호떡(16개입),4120
20,곡물가공품,빵,정통크림빵(3개입),3733
21,곡물가공품,스프,보노 콘스프(3개입),3336
22,곡물가공품,스프,보노 포르치니버섯스프(3개입),3340
23,곡물가공품,스프,오뚜기 크림스프(80g),2206
24,곡물가공품,시리얼,스페셜K 오리지널(480g),7515
25,곡물가공품,시리얼,켈로그 콘푸로스트(600g),6709
26,곡물가공품,시리얼,포스트 콘푸라이트(600g),7486
27,곡물가공품,식빵,아침엔 우유 토스트(330g),2480
28,곡물가공품,식빵,탕종숙식빵(420g),2827
29,곡물가공품,즉석국,오뚜기 간편 미역국(5개입),2938
30,곡물가공품,즉석국,오뚜기 간편 북엇국(5개입),2938
31,곡물가공품,즉석덮밥,3분 쇠고기짜장(200g),1694
32,곡물가공품,즉석덮밥,3분 쇠고기카레(200g),1774
33,곡물가공품,즉석덮밥,오뚜기 3분 백세카레 약간 매운맛(200g),3174
34,곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),1685
35,곡물가공품,즉석덮밥,청정원 카레여왕 비프카레(160g),2057
36,곡물가공품,즉석밥,오뚜기밥(210g),1932
37,곡물가공품,즉석밥,오뚜기밥(3개입),4726
38,곡물가공품,즉석밥,오뚜기밥(6개입) ,7842
39,곡물가공품,즉석밥,햇반(210g),1874
40,곡물가공품,즉석밥,햇반(3개입),4808
41,곡물가공품,즉석밥,햇반(6개입),8292
42,곡물가공품,즉석죽,동원 양반 쇠고기죽(287.5g),3765
43,곡물가공품,즉석죽,동원 양반 전복죽(287.5g),3565
44,곡물가공품,즉석죽,비비고 소고기죽(280g),3413
45,곡물가공품,즉석죽,비비고 전복죽(280g),3537
46,곡물가공품,컵라면,농심 신라면 큰사발면(114g),1289
47,곡물가공품,컵라면,오뚜기 참깨라면 컵(110g),1281
48,곡물가공품,컵라면,팔도 왕뚜껑(110g),1195
49,곡물가공품,컵밥,오뚜기 진한 쇠고기미역국밥(314g),3420
50,곡물가공품,컵밥,오뚜기 컵밥 제육덮밥(310g),3458
51,곡물가공품,컵밥,햇반 컵반 미역국밥(167g),3613
52,곡물가공품,컵밥,햇반 컵반 철판제육덮밥(256g),4294
53,곡물가공품,탕,비비고 사골곰탕(500g),1845
54,곡물가공품,탕,비비고 육개장(500g),5020
55,곡물가공품,탕,오뚜기 옛날 사골곰탕(350g),1439
56,곡물가공품,탕,오뚜기 옛날 육개장(300g),1362
57,과자빙과류,감자칩,오리온 포카칩 오리지널(66g),1511
58,과자빙과류,감자칩,포테토칩 오리지날(125g),3017
59,과자빙과류,모나카류아이스크림,빙그레 참붕어 싸만코(150ml),1350
60,과자빙과류,비스킷,아이비(270g),3219
61,과자빙과류,비스킷,참크래커(280g),3229
62,과자빙과류,빙과류,돼지바(70ml),817
63,과자빙과류,빙과류,메로나(75ml),826
64,과자빙과류,빙과류,해태 바밤바(70ml),817
65,과자빙과류,사탕,롯데 목캔디 허브민트(217g),4415
66,과자빙과류,사탕,오리온 통아몬드 캔디(90g),1781
67,과자빙과류,새우깡,농심 새우깡(90g),1288
68,과자빙과류,아이스크림,롯데 월드콘 바닐라(160ml),1505
69,과자빙과류,아이스크림,투게더 오리지널 바닐라(900ml),6378
70,과자빙과류,아이스크림,해태 부라보콘 화이트바닐라(160ml),1420
71,과자빙과류,에너지바,닥터유 에너지바(40g),1116
72,과자빙과류,에너지바,닥터유 에너지바(4개입),3993
73,과자빙과류,에너지바,켈로그 레드베리 에너지바(4개입),4687
74,과자빙과류,초코바,자유시간(36g),889
75,과자빙과류,초코바,자유시간(5개입),3507
76,과자빙과류,초코바,핫브레이크 미니(714g),11268
77,과자빙과류,초코파이,몽쉘 카카오케이크(384g),4976
78,과자빙과류,초코파이,오리온 초코파이(18개입),6318
79,과자빙과류,초코파이,해태 오예스(12개입),5081
